Coverage	Frequency	Reads
830	2	3076452
831	1	3077283
832	3	3079779
833	3	3082278
834	7	3088116
835	3	3090621
836	2	3092293
837	2	3093967
838	1	3094805
839	4	3098161
840	2	3099841
841	1	3100682
842	1	3101524
843	2	3103210
844	3	3105742
845	1	3106587
846	1	3107433
847	2	3109127
848	1	3109975
849	3	3112522
850	3	3115072
851	6	3120178
852	4	3123586
853	1	3124439
854	3	3127001
855	4	3130421
856	1	3131277
857	4	3134705
858	5	3138995
859	3	3141572
860	3	3144152
861	1	3145013
862	1	3145875
863	2	3147601
864	3	3150193
865	3	3152788
866	1	3153654
867	2	3155388
869	1	3156257
870	3	3158867
871	1	3159738
872	3	3162354
873	3	3164973
874	1	3165847
875	2	3167597
876	3	3170225
877	2	3171979
878	4	3175491
879	1	3176370
881	2	3178132
882	3	3180778
883	2	3182544
884	3	3185196
885	3	3187851
886	2	3189623
887	1	3190510
888	5	3194950
889	6	3200284
890	1	3201174
892	1	3202066
894	4	3205642
895	1	3206537
896	2	3208329
897	3	3211020
898	2	3212816
899	4	3216412
900	3	3219112
901	3	3221815
902	2	3223619
903	4	3227231
905	1	3228136
906	1	3229042
908	1	3229950
909	1	3230859
910	3	3233589
911	1	3234500
912	3	3237236
913	1	3238149
914	2	3239977
915	3	3242722
916	1	3243638
917	1	3244555
918	1	3245473
919	5	3250068
921	3	3252831
922	1	3253753
923	1	3254676
924	2	3256524
925	3	3259299
926	2	3261151
928	5	3265791
930	1	3266721
931	1	3267652
933	1	3268585
935	4	3272325
937	6	3277947
938	2	3279823
939	3	3282640
940	1	3283580
941	4	3287344
943	1	3288287
946	3	3291125
947	3	3293966
949	1	3294915
951	2	3296817
952	3	3299673
953	1	3300626
954	2	3302534
955	1	3303489
956	2	3305401
957	2	3307315
958	3	3310189
959	3	3313066
960	1	3314026
961	1	3314987
963	2	3316913
968	1	3317881
969	3	3320788
971	1	3321759
972	3	3324675
973	3	3327594
977	1	3328571
978	1	3329549
979	1	3330528
981	4	3334452
982	2	3336416
983	2	3338382
984	2	3340350
986	1	3341336
987	1	3342323
988	1	3343311
989	2	3345289
991	1	3346280
992	2	3348264
993	1	3349257
995	1	3350252
