PC3	Age	Acetobacter	Acinetobacter	Akkermansia	Altererythrobacter	Ameyamaea	Anaerobacillus	Bacillus	Brucella	Carnobacterium	Corynebacterium_1	Curvibacter	Cutibacterium	Enhydrobacter	Escherichia/Shigella	Gemella	Klebsiella	Lactobacillus	Lawsonella	Mangrovibacter	Massilia	Methylobacterium	Micrococcus	Paracoccus	Proteus	Pseudomonas	Ralstonia	Serratia	Sphingobium	Staphylococcus	Stenotrophomonas	Streptococcus	Wolbachia
high	Early	0.984756698881407	0	0	0	5.63523146713251e-05	0	0	0	0	8.45284720069877e-05	0	0.000126792708010482	0	7.04403933391564e-05	0	0	1.40880786678313e-05	4.22642360034938e-05	1.40880786678313e-05	0	0	0	0	0	0.00181736214815024	0.0116931052943	0.000183145022681807	0.000281761573356626	5.63523146713251e-05	0	2.81761573356626e-05	0
high	Early	0.937237874377066	0.000131576783276591	0	0	1.64470979095739e-05	0	6.57883916382954e-05	0	0	0.00123353234321804	0	0.000756566503840397	3.28941958191477e-05	0.000822354895478693	0	0	3.28941958191477e-05	0.00042762454564892	0.000921037482936136	0	0	0.000444071643558494	1.64470979095739e-05	0	0.00406243318366474	0.0456735908948866	0.000674331014292528	0	0.00131576783276591	1.64470979095739e-05	0	0
high	Early	0.53811473286003	0	0	0	2.59107633310877e-05	0	0.000207286106648702	0	0.00103643053324351	0.00137327045654765	0.000466393739959579	0.00137327045654765	0	0.000751412136601544	0	0	0.0559672487951495	0	0.00129553816655439	0	0	5.18215266621755e-05	0	0.000880965953256983	0.0186816603617143	0.341011556200446	0.00339430999637249	0	0	0	2.59107633310877e-05	0
high	Early	0.549791714501263	0	0	0	0	0	0.000623216452914357	0	0.000524813855085774	0.00106602814314298	6.56017318857218e-05	0.000656017318857218	0.0013448355036573	0.000770820349657231	0	0	0.0306360087906321	0	0.00108242857611441	0	0	0.000557614721028635	0	0	0.0179256732377735	0.367927313281071	0.00200085282251451	0	0.000278807360514318	0	1.64004329714304e-05	0
high	Early	0.867490969271654	0.000238697665536831	0.000429655797966296	0	1.59131777024554e-05	0	0.000143218599322099	0	0.000461482153371207	0.000143218599322099	0	0.000684266641205582	0.000222784487834376	0.00020687131013192	0	0	0.0168679683646027	3.18263554049108e-05	0.000954790662147324	1.59131777024554e-05	0.000302350376346653	0.00038191626485893	0	0	0.00892729269107748	0.0764628188602982	0.00119348832768416	0.00184592861348483	0.000429655797966296	0.000461482153371207	0	0
low	Early	0.4003613626213	0.000994762272118235	0.00168500548134313	0	4.06025417191116e-05	0.000751147021803565	0	0	0.0033091071501076	0.00245645377400625	8.12050834382232e-05	0.0103333468675139	0.00420236306792805	0.00062933939664623	0	0.00146169150188802	4.06025417191116e-05	0.000304519062893337	0.00290308173291648	0.000791749563522677	0.00152259531446669	0.00111656989727557	0.000649640667505786	0	0.0262089406796865	0.467497665353851	0.00227374233627025	0.0169312598968695	0.00582646473669252	0.000832352105241788	0.00170530675220269	0
low	Early	0.69750378214826	0	7.5642965204236e-05	0.000529500756429652	7.5642965204236e-05	0	0	0	0	0.000907715582450832	0	0.00155068078668684	0	0.000491679273827534	0	0	0.0010590015128593	0.00181543116490166	0.00166414523449319	0	0	0.000453857791225416	0	0	0.0172087745839637	0.259152798789713	0.00427382753403933	0.000113464447806354	0.0018910741301059	0	0	0
low	Early	0.448922354662683	3.04850166143341e-05	0	0	0	0	0.000792610431972685	0	0.00256074139560406	0.00585312318995214	0	0.00390208212663476	0.00146328079748803	0.00115843063134469	0	0	3.04850166143341e-05	0.00454226747553577	0.000914550498430022	0.000640185348901015	0	0	0	3.04850166143341e-05	0.0341737036246685	0.458159314696827	0.00432887235923544	0	0.00448129744230711	0	0.00326189677773374	0
low	Early	0.0689601855431001	0	0	0	0	0	0.000154619250096637	7.73096250483185e-05	0.00216466950135292	0	0	0.000154619250096637	0.000309238500193274	0.00231928875144956	0	7.73096250483185e-05	0.000154619250096637	0	0.000463857750289911	0	7.73096250483185e-05	0.00950908388094318	0.00255121762659451	0	0.0459219172787012	0.830537301894086	0.00587553150367221	0	0.00131426362582141	0	0	0
low	Early	0.787994599171568	2.28848662379568e-05	0.00093827951575623	0	6.86545987138705e-05	0	0.000572121655948921	0	0.00160194063665698	2.28848662379568e-05	0.000114424331189784	0.00121289791061171	4.57697324759137e-05	0	0	0	0	0	0.000915394649518274	0	0	0	0	0	0.0145776597935785	0.177449252809117	0.0050346705723505	0	0.0013273222418015	0.000846740050804403	0	0
