Length	R1	R2	Clean_R1	Clean_R2	Singleton_R1	Singleton_R2	Merged	Not_merged_R1	Not_merged_R2
57	7	6	467	1588	114	77	6	455	1577
58	2	2	364	1457	72	61	2	351	1452
59	0	0	252	1253	116	57	0	250	1250
60	1	0	381	1731	134	80	0	372	1727
61	0	0	502	1661	136	64	0	497	1657
62	5	5	466	1422	202	51	4	446	1411
63	1	0	569	1289	148	83	0	564	1286
64	1	1	485	1431	173	49	1	479	1421
65	2	2	680	1463	174	60	2	672	1458
66	21	22	472	1399	184	51	18	450	1369
67	0	0	529	1630	146	70	0	517	1622
68	1	1	382	1443	163	54	1	371	1436
69	0	0	666	1709	182	70	0	651	1701
70	0	0	764	1713	195	65	0	759	1706
71	13	13	616	1743	175	89	12	600	1728
72	3	3	612	1483	199	66	3	599	1472
73	2	2	771	1811	219	61	2	760	1797
74	0	0	830	2023	210	94	0	825	2014
75	2	2	825	1913	169	63	2	794	1901
76	1	1	793	2377	196	104	1	776	2361
77	2	2	937	2014	291	71	2	926	1998
78	1	1	927	2371	315	74	1	917	2342
79	7	7	822	2318	202	57	7	798	2275
80	4	5	843	2142	224	71	4	824	2092
81	20	22	969	2336	244	85	19	939	2263
82	93	93	972	2483	201	63	88	882	2379
83	32	32	1071	1993	248	67	31	1036	1941
84	0	0	1293	2182	320	56	0	1289	2148
85	4	4	981	3020	263	85	4	962	2982
86	1	1	1120	3755	274	73	1	1113	3728
87	2	1	1120	3356	218	61	1	1110	3329
88	7	7	1000	3584	192	75	7	988	3560
89	4	4	984	1939	237	47	4	974	1920
90	29	27	955	2619	248	58	27	915	2580
91	80	79	1197	2516	247	43	75	1123	2431
92	4	5	1637	2523	320	57	2	1611	2502
93	11	11	1819	2080	342	49	9	1784	2057
94	10	10	1602	2703	281	69	10	1583	2681
95	7	7	1727	2364	353	64	7	1709	2327
96	2	2	1027	3322	244	74	2	1008	3283
97	4	4	933	4633	166	81	4	920	4593
98	24	23	1159	4917	192	73	22	1131	4860
99	4	4	3583	4107	501	61	4	3575	4066
100	10	10	2439	5197	438	63	9	2424	5157
101	3	3	5448	4705	661	63	3	5437	4662
102	5	4	5489	4138	654	58	4	5469	4110
103	1	1	4952	4608	583	75	1	4939	4576
104	2	2	2882	4392	398	69	2	2867	4361
105	10	11	2849	3861	341	51	9	2823	3811
106	3	3	4393	3971	550	63	3	4372	3939
107	8	8	4877	4486	638	69	8	4855	4456
108	30	28	9394	4437	844	79	28	9341	4382
109	29	29	5300	4217	458	74	26	5264	4170
110	14	14	5562	3065	522	53	12	5528	3018
111	144	146	15167	3047	909	38	165	15036	2907
112	30	31	17285	4151	851	40	30	17241	4104
113	27	25	16985	4672	813	60	27	16940	4622
114	20	20	14984	2943	682	46	20	14936	2906
115	3	3	6973	3879	401	49	3	6931	3841
116	8	8	10744	4399	528	59	8	10725	4350
117	3	3	10037	3043	553	43	3	10016	2998
118	4	4	7435	3967	428	57	4	7418	3881
119	14	13	5123	4371	310	67	14	5086	4264
120	14	15	4727	3652	330	54	13	4703	3516
121	22	20	3499	4387	328	51	20	3471	4286
122	60	56	3841	4187	398	56	56	3781	4078
123	38	34	3128	5632	367	79	37	3079	5570
124	7	6	3491	6205	372	75	5	3472	6138
125	9	9	3160	5960	315	76	10	3138	5902
126	16	16	3008	7102	368	68	15	2985	7024
127	2	2	2016	6147	266	68	2	2006	6102
128	1	1	2543	6094	281	68	1	2532	6042
129	5	5	2900	4792	287	62	6	2884	4752
130	5	4	2322	4941	204	60	4	2295	4883
131	20	20	2107	6874	277	64	19	2064	6807
132	5	5	2563	6649	339	75	5	2548	6551
133	21	21	2081	7843	238	82	21	2048	7759
134	17	14	2172	6687	286	55	14	2142	6567
135	53	52	2841	8676	374	55	53	2785	8514
136	11	13	3033	6648	413	47	13	3010	6515
137	189	197	3007	7517	357	55	183	2825	7304
138	21	18	3011	4825	343	34	19	2977	4694
139	49	46	2872	6763	320	63	47	2816	6649
140	6	6	2782	11275	315	84	7	2755	11189
141	26	25	3720	11095	331	95	26	3662	10989
142	2	2	3407	15373	313	107	2	3382	15243
143	4	4	3452	12696	271	71	4	3423	12590
144	4	3	3468	15300	247	89	3	3432	15183
145	17	18	3168	10726	247	58	16	3132	10630
146	73	60	2818	10381	251	66	68	2729	10261
147	3	2	3027	9686	263	56	2	3007	9399
148	0	0	3106	12516	307	60	0	3076	11909
149	7	7	3123	11106	248	70	7	3096	10380
150	9	8	4013	19218	293	107	9	3960	17937
151	4	4	4628	12650	323	61	11	4583	11531
152	13	12	4141	15914	333	54	14	4086	14597
153	65	60	4014	17450	306	82	61	3913	15987
154	49	44	3523	21229	257	98	47	3446	19509
155	13	14	4814	15091	290	71	12	4748	13736
156	71	59	4526	16185	299	78	64	4439	14641
157	14	16	3854	19112	282	79	16	3806	17356
158	24	23	5150	24665	332	140	24	5092	22408
159	13	10	4113	19779	275	107	14	4061	17983
160	11	12	3755	20228	243	172	17	3700	18034
161	30	29	4203	14602	246	60	28	4120	12935
162	8	8	3967	17560	284	137	9	3909	15090
163	14	12	4257	14083	278	59	14	4188	11909
164	73	57	3770	19114	280	111	74	3660	15977
165	13	11	5464	19658	324	73	12	5388	16587
166	7	4	6140	18071	358	60	7	6058	15051
167	15	11	6425	22757	364	119	14	6333	18946
168	39	33	5349	20471	295	71	39	5262	16765
169	29	20	4628	22243	295	122	28	4537	17667
170	1233	1063	5594	16567	298	62	1143	4527	12428
171	369	346	6017	23947	354	128	364	5658	18387
172	6	6	5914	17685	391	87	6	5837	13066
173	3	3	8219	21298	418	72	4	8108	15563
174	96	69	6272	28241	374	108	87	6133	20387
175	4	3	7037	22871	345	82	3	6930	16149
176	24	21	5050	34508	290	108	23	4938	23534
177	18	14	6980	34142	306	107	15	6829	22828
178	1	0	5721	28461	209	88	0	5553	18986
179	3	3	8255	19226	401	63	3	8081	12160
180	37	30	8245	22016	384	75	35	8032	13451
181	4	3	9298	21876	435	89	4	9044	13289
182	25	16	8108	22526	340	85	24	7872	13004
183	33	24	8378	14180	369	45	29	8176	8166
184	15	10	8035	10613	346	35	18	7758	5399
185	416	355	5932	23088	266	99	408	5455	11156
186	1966	1660	7728	19051	282	66	1902	6277	8061
187	43	39	6675	23987	289	76	45	6445	10566
188	17	7	7879	18490	319	35	17	7649	8383
189	88	75	9029	18257	386	49	94	8742	8496
190	181	116	8228	12472	330	28	122	7888	5333
191	4688	4818	9724	24590	234	70	4735	6094	7842
192	26	25	5383	20904	222	44	27	5166	7138
193	26	20	5886	15276	261	28	21	5719	4931
194	471	450	6096	12539	245	19	477	5558	3924
195	3	3	6744	21954	280	39	3	6509	6853
196	23	19	6253	12972	274	24	21	6037	4486
197	5	5	7704	8543	318	15	5	7541	3115
198	0	0	7049	10716	293	27	0	6904	3249
199	23	19	5717	18857	256	35	24	5585	6073
200	21	16	4841	24830	215	53	22	4688	7293
201	234	210	4714	18865	185	43	257	4437	5146
202	18	12	6353	26871	208	66	18	6042	7748
203	338	300	8142	50238	333	90	329	7661	15122
204	36	32	7015	36746	266	67	36	6680	11597
205	382	261	11033	36473	390	55	354	10392	13824
206	7	4	9817	45885	356	93	8	9534	14855
207	4	2	8238	43697	280	65	5	7979	13964
208	24	16	8007	32728	266	54	23	7609	8628
209	250	176	6409	30232	239	43	243	6035	6586
210	182	167	6203	50090	216	71	180	5765	15340
211	71	34	6719	35640	231	52	73	6042	14850
212	25	23	11887	63798	421	105	26	10978	20198
213	14	9	8262	49116	249	63	15	7370	17745
214	15	14	12107	45328	442	86	31	11030	13764
215	14	7	9863	36991	334	86	24	8718	7906
216	52	41	15152	45658	482	95	50	13149	7765
217	39	26	18820	42026	666	73	37	16571	7347
218	147	112	14747	43960	470	99	139	13058	7153
219	18	12	10919	101340	335	150	15	9528	15332
220	18	11	17308	73220	574	89	15	14780	10797
221	51	32	14126	34072	460	56	49	11883	4655
222	115	68	10929	99937	344	124	104	8983	12468
223	1218	889	23749	87498	735	115	1176	18818	11453
224	72	43	16521	58746	584	71	67	13329	5841
225	75	61	12583	97621	374	109	73	9735	9023
226	7	4	10770	53221	331	63	7	8215	4847
227	62	40	19875	140462	623	134	59	14598	11290
228	85	46	17196	147596	503	165	83	12360	9473
229	9	8	19348	147410	555	168	11	13437	8752
230	3	2	19238	95653	500	88	3	13283	3912
231	3	0	15753	164231	422	153	3	10756	6203
232	9	3	13651	90765	342	77	7	9171	3219
233	29	12	20284	73638	572	58	27	13217	2579
234	13	8	19711	143316	485	142	11	12445	4508
235	178	117	15763	74108	350	77	181	9701	2444
236	14	13	17665	203212	437	165	14	10521	6639
237	8	3	11842	204604	268	182	6	6652	5403
238	83	78	9874	170452	231	139	90	5459	4101
239	17	8	13108	136725	300	106	17	7210	2891
240	19	13	11172	141633	298	109	18	6318	2436
241	98	103	13056	177751	299	129	143	7324	3526
242	4	2	12110	89696	318	65	4	6946	1433
243	38	37	10773	58468	236	31	47	5583	1171
244	10	6	14964	98361	364	67	11	7470	1345
245	6	5	14515	50302	389	31	10	7489	659
246	18	10	17360	33499	418	20	18	8748	454
247	11	9	12886	55045	309	42	11	6380	605
248	5	3	16079	20200	352	13	10	7781	247
249	15	14	19358	102001	437	80	19	9374	1163
250	14	9	18123	149291	425	107	129	8848	3331
251	36	27	19367	115892	397	81	43	8668	4174
252	10	7	44904	74815	1031	55	10	19290	4846
253	20	11	34733	109838	686	65	22	14439	2784
254	27	18	20883	55671	393	37	31	8134	1152
255	64	34	26503	52035	553	32	84	11230	966
256	12	2	19812	121351	352	64	10	7658	2251
257	4	1	28765	55655	553	32	5	10130	940
258	5	3	27204	177533	542	99	7	9146	2843
259	7	4	39977	220698	822	114	8	12435	4129
260	5	4	43590	212393	881	122	5	13727	2490
261	16	9	45230	163720	829	89	18	13891	1620
262	10	4	45893	180099	765	119	12	12473	1196
263	21	12	98103	223336	1652	106	29	25188	1137
264	5	5	77851	123965	1307	80	8	17990	560
265	10	3	126217	120245	2019	47	9	26034	567
266	10	4	99316	197275	1459	105	17	17640	851
267	5	2	72736	113986	1017	46	3	12070	491
268	23	16	111732	65189	1659	31	26	17555	266
269	15	7	95383	42098	1319	27	16	12893	120
270	46	25	68217	27788	897	11	45	8527	99
271	129	53	48122	59513	670	31	126	5634	189
272	64	30	18850	56566	239	14	76	1972	189
273	107	50	49446	29122	741	12	112	5232	123
274	170	110	87722	40743	1230	19	166	9052	134
275	17	3	79808	20399	1102	11	19	6838	54
276	104	41	74476	6873	963	3	114	6424	16
277	47	24	94043	26171	1154	17	56	7943	89
278	7	4	67412	5865	796	2	8	5422	27
279	12	8	71631	24503	813	11	12	5089	68
280	11	5	63131	19744	744	7	12	4175	60
281	11	3	98917	19106	1206	9	16	6272	55
282	8	1	101850	25906	1202	13	8	5689	91
283	22	4	57974	20703	628	11	23	2916	72
284	20	6	88993	15755	1063	9	23	4063	82
285	55	36	55110	11820	656	4	83	2415	63
286	5	3	83099	11788	864	5	6	3458	51
287	12	4	136604	15866	1489	11	18	5521	68
288	46	19	96365	19961	1023	14	46	3427	119
289	12	41	114338	35723	1157	20	14	3874	406
290	7	4	82650	23153	861	9	9	2510	365
291	6	1	136283	19126	1323	10	9	4020	321
292	16	7	93580	24731	848	12	18	2429	916
293	12	132	123927	34746	1123	17	22	3033	634
294	142	21	53215	19420	482	7	266	1225	326
295	168	921	154370	11260	1435	7	204	3289	153
296	178	225	117798	7290	1168	2	82	2330	80
297	2674	2685	162680	15659	1495	4	27	2668	181
298	2516	5565	175332	21137	1687	15	501	2717	208
299	17305	8592718	624863	82675	5681	42	14	7749	866
300	8840362	263461	3085694	53	25849	0	17	24160	0
301	0	0	0	0	0	0	40	0	0
302	0	0	0	0	0	0	29	0	0
303	0	0	0	0	0	0	14	0	0
304	0	0	0	0	0	0	15	0	0
305	0	0	0	0	0	0	18	0	0
306	0	0	0	0	0	0	9	0	0
307	0	0	0	0	0	0	88	0	0
308	0	0	0	0	0	0	29	0	0
309	0	0	0	0	0	0	5	0	0
310	0	0	0	0	0	0	177	0	0
311	0	0	0	0	0	0	2753	0	0
312	0	0	0	0	0	0	37	0	0
313	0	0	0	0	0	0	8	0	0
314	0	0	0	0	0	0	40	0	0
315	0	0	0	0	0	0	20	0	0
316	0	0	0	0	0	0	19	0	0
317	0	0	0	0	0	0	9	0	0
318	0	0	0	0	0	0	23	0	0
319	0	0	0	0	0	0	29	0	0
320	0	0	0	0	0	0	41	0	0
321	0	0	0	0	0	0	782	0	0
322	0	0	0	0	0	0	27	0	0
323	0	0	0	0	0	0	79	0	0
324	0	0	0	0	0	0	8	0	0
325	0	0	0	0	0	0	12	0	0
326	0	0	0	0	0	0	10	0	0
327	0	0	0	0	0	0	17	0	0
328	0	0	0	0	0	0	12	0	0
329	0	0	0	0	0	0	22	0	0
330	0	0	0	0	0	0	30	0	0
331	0	0	0	0	0	0	17	0	0
332	0	0	0	0	0	0	4	0	0
333	0	0	0	0	0	0	29	0	0
334	0	0	0	0	0	0	11	0	0
335	0	0	0	0	0	0	12	0	0
336	0	0	0	0	0	0	12	0	0
337	0	0	0	0	0	0	20	0	0
338	0	0	0	0	0	0	14	0	0
339	0	0	0	0	0	0	13	0	0
340	0	0	0	0	0	0	21	0	0
341	0	0	0	0	0	0	71	0	0
342	0	0	0	0	0	0	47	0	0
343	0	0	0	0	0	0	30	0	0
344	0	0	0	0	0	0	624	0	0
345	0	0	0	0	0	0	101	0	0
346	0	0	0	0	0	0	101	0	0
347	0	0	0	0	0	0	11	0	0
348	0	0	0	0	0	0	7	0	0
349	0	0	0	0	0	0	16	0	0
350	0	0	0	0	0	0	13	0	0
351	0	0	0	0	0	0	104	0	0
352	0	0	0	0	0	0	18	0	0
353	0	0	0	0	0	0	279	0	0
354	0	0	0	0	0	0	63	0	0
355	0	0	0	0	0	0	67	0	0
356	0	0	0	0	0	0	53	0	0
357	0	0	0	0	0	0	15	0	0
358	0	0	0	0	0	0	27	0	0
359	0	0	0	0	0	0	5	0	0
360	0	0	0	0	0	0	42	0	0
361	0	0	0	0	0	0	61	0	0
362	0	0	0	0	0	0	26	0	0
363	0	0	0	0	0	0	17	0	0
364	0	0	0	0	0	0	6	0	0
365	0	0	0	0	0	0	22	0	0
366	0	0	0	0	0	0	21	0	0
367	0	0	0	0	0	0	2	0	0
368	0	0	0	0	0	0	10	0	0
369	0	0	0	0	0	0	11	0	0
370	0	0	0	0	0	0	37	0	0
371	0	0	0	0	0	0	13	0	0
372	0	0	0	0	0	0	98	0	0
373	0	0	0	0	0	0	308	0	0
374	0	0	0	0	0	0	27	0	0
375	0	0	0	0	0	0	15	0	0
376	0	0	0	0	0	0	6	0	0
377	0	0	0	0	0	0	41	0	0
378	0	0	0	0	0	0	23	0	0
379	0	0	0	0	0	0	22	0	0
380	0	0	0	0	0	0	21	0	0
381	0	0	0	0	0	0	33	0	0
382	0	0	0	0	0	0	54	0	0
383	0	0	0	0	0	0	12	0	0
384	0	0	0	0	0	0	81	0	0
385	0	0	0	0	0	0	19	0	0
386	0	0	0	0	0	0	24	0	0
387	0	0	0	0	0	0	54	0	0
388	0	0	0	0	0	0	28	0	0
389	0	0	0	0	0	0	33	0	0
390	0	0	0	0	0	0	62	0	0
391	0	0	0	0	0	0	61	0	0
392	0	0	0	0	0	0	9	0	0
393	0	0	0	0	0	0	7	0	0
394	0	0	0	0	0	0	19	0	0
395	0	0	0	0	0	0	15	0	0
396	0	0	0	0	0	0	16	0	0
397	0	0	0	0	0	0	4	0	0
398	0	0	0	0	0	0	23	0	0
399	0	0	0	0	0	0	203	0	0
400	0	0	0	0	0	0	23	0	0
401	0	0	0	0	0	0	15	0	0
402	0	0	0	0	0	0	7	0	0
403	0	0	0	0	0	0	14	0	0
404	0	0	0	0	0	0	12	0	0
405	0	0	0	0	0	0	0	0	0
406	0	0	0	0	0	0	32	0	0
407	0	0	0	0	0	0	59	0	0
408	0	0	0	0	0	0	12	0	0
409	0	0	0	0	0	0	72	0	0
410	0	0	0	0	0	0	99	0	0
411	0	0	0	0	0	0	78	0	0
412	0	0	0	0	0	0	24	0	0
413	0	0	0	0	0	0	24	0	0
414	0	0	0	0	0	0	874	0	0
415	0	0	0	0	0	0	40	0	0
416	0	0	0	0	0	0	134	0	0
417	0	0	0	0	0	0	15	0	0
418	0	0	0	0	0	0	20	0	0
419	0	0	0	0	0	0	4	0	0
420	0	0	0	0	0	0	5	0	0
421	0	0	0	0	0	0	7	0	0
422	0	0	0	0	0	0	11	0	0
423	0	0	0	0	0	0	14	0	0
424	0	0	0	0	0	0	6	0	0
425	0	0	0	0	0	0	14	0	0
426	0	0	0	0	0	0	62	0	0
427	0	0	0	0	0	0	21	0	0
428	0	0	0	0	0	0	10	0	0
429	0	0	0	0	0	0	127	0	0
430	0	0	0	0	0	0	170	0	0
431	0	0	0	0	0	0	376	0	0
432	0	0	0	0	0	0	273	0	0
433	0	0	0	0	0	0	336	0	0
434	0	0	0	0	0	0	460	0	0
435	0	0	0	0	0	0	767	0	0
436	0	0	0	0	0	0	871	0	0
437	0	0	0	0	0	0	2879	0	0
438	0	0	0	0	0	0	9865	0	0
439	0	0	0	0	0	0	129560	0	0
440	0	0	0	0	0	0	6845668	0	0
441	0	0	0	0	0	0	30470	0	0
442	0	0	0	0	0	0	1498	0	0
443	0	0	0	0	0	0	543	0	0
444	0	0	0	0	0	0	100	0	0
445	0	0	0	0	0	0	1433	0	0
446	0	0	0	0	0	0	269	0	0
447	0	0	0	0	0	0	247	0	0
448	0	0	0	0	0	0	295	0	0
449	0	0	0	0	0	0	19	0	0
450	0	0	0	0	0	0	12	0	0
451	0	0	0	0	0	0	34	0	0
452	0	0	0	0	0	0	126	0	0
453	0	0	0	0	0	0	65	0	0
454	0	0	0	0	0	0	91	0	0
455	0	0	0	0	0	0	82	0	0
456	0	0	0	0	0	0	71	0	0
457	0	0	0	0	0	0	49	0	0
458	0	0	0	0	0	0	72	0	0
459	0	0	0	0	0	0	372	0	0
460	0	0	0	0	0	0	321	0	0
461	0	0	0	0	0	0	53	0	0
462	0	0	0	0	0	0	123	0	0
463	0	0	0	0	0	0	480	0	0
464	0	0	0	0	0	0	4399	0	0
465	0	0	0	0	0	0	155392	0	0
466	0	0	0	0	0	0	2354	0	0
467	0	0	0	0	0	0	63	0	0
468	0	0	0	0	0	0	10	0	0
469	0	0	0	0	0	0	4	0	0
470	0	0	0	0	0	0	0	0	0
471	0	0	0	0	0	0	3	0	0
472	0	0	0	0	0	0	7	0	0
473	0	0	0	0	0	0	0	0	0
474	0	0	0	0	0	0	3	0	0
475	0	0	0	0	0	0	7	0	0
476	0	0	0	0	0	0	3	0	0
477	0	0	0	0	0	0	9	0	0
478	0	0	0	0	0	0	123	0	0
479	0	0	0	0	0	0	8	0	0
480	0	0	0	0	0	0	2	0	0
481	0	0	0	0	0	0	6	0	0
482	0	0	0	0	0	0	10	0	0
483	0	0	0	0	0	0	3	0	0
484	0	0	0	0	0	0	1	0	0
485	0	0	0	0	0	0	2	0	0
486	0	0	0	0	0	0	6	0	0
487	0	0	0	0	0	0	1	0	0
488	0	0	0	0	0	0	4	0	0
489	0	0	0	0	0	0	1	0	0
490	0	0	0	0	0	0	1	0	0
491	0	0	0	0	0	0	2	0	0
492	0	0	0	0	0	0	2	0	0
493	0	0	0	0	0	0	7	0	0
494	0	0	0	0	0	0	20	0	0
495	0	0	0	0	0	0	2	0	0
496	0	0	0	0	0	0	9	0	0
497	0	0	0	0	0	0	0	0	0
498	0	0	0	0	0	0	7	0	0
499	0	0	0	0	0	0	3	0	0
500	0	0	0	0	0	0	4	0	0
501	0	0	0	0	0	0	1	0	0
502	0	0	0	0	0	0	1	0	0
503	0	0	0	0	0	0	2	0	0
504	0	0	0	0	0	0	1	0	0
505	0	0	0	0	0	0	0	0	0
506	0	0	0	0	0	0	0	0	0
507	0	0	0	0	0	0	2	0	0
508	0	0	0	0	0	0	1	0	0
509	0	0	0	0	0	0	15	0	0
510	0	0	0	0	0	0	439	0	0
511	0	0	0	0	0	0	3	0	0
512	0	0	0	0	0	0	10	0	0
513	0	0	0	0	0	0	0	0	0
514	0	0	0	0	0	0	0	0	0
515	0	0	0	0	0	0	2	0	0
516	0	0	0	0	0	0	2	0	0
517	0	0	0	0	0	0	4	0	0
518	0	0	0	0	0	0	0	0	0
519	0	0	0	0	0	0	0	0	0
520	0	0	0	0	0	0	0	0	0
521	0	0	0	0	0	0	0	0	0
522	0	0	0	0	0	0	0	0	0
523	0	0	0	0	0	0	0	0	0
524	0	0	0	0	0	0	0	0	0
525	0	0	0	0	0	0	0	0	0
526	0	0	0	0	0	0	0	0	0
527	0	0	0	0	0	0	0	0	0
528	0	0	0	0	0	0	1	0	0
529	0	0	0	0	0	0	0	0	0
530	0	0	0	0	0	0	0	0	0
531	0	0	0	0	0	0	0	0	0
532	0	0	0	0	0	0	0	0	0
533	0	0	0	0	0	0	2	0	0
534	0	0	0	0	0	0	0	0	0
535	0	0	0	0	0	0	0	0	0
536	0	0	0	0	0	0	0	0	0
537	0	0	0	0	0	0	0	0	0
538	0	0	0	0	0	0	0	0	0
539	0	0	0	0	0	0	3	0	0
540	0	0	0	0	0	0	1	0	0
541	0	0	0	0	0	0	0	0	0
542	0	0	0	0	0	0	0	0	0
543	0	0	0	0	0	0	0	0	0
544	0	0	0	0	0	0	0	0	0
545	0	0	0	0	0	0	0	0	0
546	0	0	0	0	0	0	0	0	0
547	0	0	0	0	0	0	0	0	0
548	0	0	0	0	0	0	0	0	0
549	0	0	0	0	0	0	0	0	0
550	0	0	0	0	0	0	0	0	0
551	0	0	0	0	0	0	0	0	0
552	0	0	0	0	0	0	0	0	0
553	0	0	0	0	0	0	0	0	0
554	0	0	0	0	0	0	0	0	0
555	0	0	0	0	0	0	0	0	0
556	0	0	0	0	0	0	0	0	0
557	0	0	0	0	0	0	0	0	0
558	0	0	0	0	0	0	0	0	0
559	0	0	0	0	0	0	0	0	0
560	0	0	0	0	0	0	0	0	0
561	0	0	0	0	0	0	1	0	0
562	0	0	0	0	0	0	0	0	0
563	0	0	0	0	0	0	0	0	0
564	0	0	0	0	0	0	0	0	0
565	0	0	0	0	0	0	0	0	0
566	0	0	0	0	0	0	0	0	0
567	0	0	0	0	0	0	0	0	0
568	0	0	0	0	0	0	0	0	0
569	0	0	0	0	0	0	0	0	0
570	0	0	0	0	0	0	0	0	0
571	0	0	0	0	0	0	0	0	0
572	0	0	0	0	0	0	0	0	0
573	0	0	0	0	0	0	0	0	0
574	0	0	0	0	0	0	0	0	0
575	0	0	0	0	0	0	0	0	0
576	0	0	0	0	0	0	0	0	0
577	0	0	0	0	0	0	0	0	0
578	0	0	0	0	0	0	1	0	0
579	0	0	0	0	0	0	0	0	0
580	0	0	0	0	0	0	0	0	0
581	0	0	0	0	0	0	0	0	0
582	0	0	0	0	0	0	0	0	0
583	0	0	0	0	0	0	0	0	0
584	0	0	0	0	0	0	0	0	0
585	0	0	0	0	0	0	0	0	0
586	0	0	0	0	0	0	0	0	0
587	0	0	0	0	0	0	0	0	0
588	0	0	0	0	0	0	0	0	0
589	0	0	0	0	0	0	0	0	0
590	0	0	0	0	0	0	0	0	0
591	0	0	0	0	0	0	0	0	0
592	0	0	0	0	0	0	0	0	0
593	0	0	0	0	0	0	0	0	0
594	0	0	0	0	0	0	0	0	0
595	0	0	0	0	0	0	0	0	0
596	0	0	0	0	0	0	0	0	0
597	0	0	0	0	0	0	0	0	0
598	0	0	0	0	0	0	0	0	0
599	0	0	0	0	0	0	0	0	0
600	0	0	0	0	0	0	0	0	0
