,age,isoline,replicate,seqrun,simpson,shannon,LactoAcetoRatio,RotAxis1,RotAxis2,OriAxis1,OriAxis2
L23A.fastq.gz,Late,23,A,1,0.987411983071538,4.57440385831876,0.00132451680608055,0.198907727723268,-0.106577141510722,0.134682433658743,-0.181062456915806
L23D.fastq.gz,Late,23,D,1,0.98707353224599,4.54942715475679,0.000585998379153419,0.187874185592229,0.000420849863818944,0.170209604085682,-0.0795334986250852
L24A.fastq.gz,Late,24,A,1,0.98068185521953,4.22466749350284,0.00445823254401284,0.105889253864756,-0.0322171229922815,0.082128372350413,-0.0741984336290625
L24B.fastq.gz,Late,24,B,1,0.980479452751458,4.22621904722739,0.00471518853716554,0.0701233957262259,0.00405106947999443,0.0651865027109276,-0.0261614536374958
L6A.fastq.gz,Late,6,A,1,0.986964182099968,4.61479706318872,0.00311175492247438,0.1263364358443,-0.140197954072798,0.054702707288512,-0.180621081724551
L6B.fastq.gz,Late,6,B,1,0.985938372451431,4.54104234941532,0.00348521786903822,0.0935218140782484,-0.0771383675143013,0.051827794441532,-0.109592596349316
L6C.fastq.gz,Late,6,C,1,0.983523148051241,4.44159322980429,0.00301248507704152,0.0382881100325155,-0.181058608586394,-0.0423636490483379,-0.180148606301609
L6D.fastq.gz,Late,6,D,1,0.98090729969156,4.28684719993396,0.00268952523407499,0.055149977009272,-0.169302952558045,-0.022102860531042,-0.176681841923103
E22C.fastq.gz,Early,22,C,2,0.979282072585714,4.08825052270893,0.000302211812704229,0.113800507468827,0.0613068887187009,0.1290697245948,0.0070778738016535
E23A.fastq.gz,Early,23,A,2,0.981845049062091,4.19660325348991,0.000221278102318995,-0.0579181718249368,0.0772720759285942,-0.0195487799701556,0.0945691997826764
E25A.fastq.gz,Early,25,A,2,0.990502835189456,4.89820997908074,0.00543792664584056,0.03121391695989,0.214669054614736,0.119561208428677,0.181003395162184
E25B.fastq.gz,Early,25,B,2,0.987904127814605,4.77801221038543,0.0123133604808997,-0.0225450804578012,0.0853779047071894,0.0159126106897331,0.0868588284866635
E25C.fastq.gz,Early,25,C,2,0.987007535111611,4.61822034423757,0,0.0246164519723009,0.185694170519338,0.101265556518403,0.157586743527454
E25D.fastq.gz,Early,25,D,2,0.988216587583568,4.70002389051375,0.000566188688534679,0.00597835812571285,0.246301241972572,0.11017753282645,0.220365500528979
E26A.fastq.gz,Early,26,A,2,0.988459255852565,4.79391585990876,0,0.0288986495219674,0.0747001244841536,0.0579284928613984,0.0553130206818293
E26B.fastq.gz,Early,26,B,2,0.989090380323461,4.78190517153203,7.48609457931892e-06,0.13312607361087,0.170289615169111,0.192916836746985,0.0974894794786998
E26C.fastq.gz,Early,26,C,2,0.991994824108104,5.0988119763905,0.000163688040356542,0.108225142338135,0.155442364660524,0.164065460349954,0.0946442543714223
E26D.fastq.gz,Early,26,D,2,0.987335899140538,4.63769088699663,0.000502994239292391,-0.00114041927690276,0.154638249910807,0.064744995766676,0.140436371409893
E27A.fastq.gz,Early,27,A,2,0.977816855845852,4.2418131374042,0,-0.26510336342776,-0.0343658808421023,-0.254542737561721,0.0816627321447764
E27B.fastq.gz,Early,27,B,2,0.991509736840451,5.06526935072494,0.000597996711018089,-0.237423785616584,-0.0209816318148749,-0.223798924166289,0.0820019779769743
E27C.fastq.gz,Early,27,C,2,0.989630101486806,4.89304843716716,0.000443721342996598,-0.176838061304853,0.0201744734334037,-0.151461199837432,0.0934784159481721
E28A.fastq.gz,Early,28,A,2,0.990836772455817,4.94499172225755,0.0001318391562294,-0.139732069288007,0.127871174578852,-0.0720694060309037,0.175163036026544
E28B.fastq.gz,Early,28,B,2,0.991530056107787,5.04187636035983,0,-0.164807937645426,0.143961654666373,-0.0879193962860089,0.200391601824833
E28C.fastq.gz,Early,28,C,2,0.990055573600083,4.88946363123355,0.000830075914215427,-0.14080216278638,0.100118312262626,-0.0848428551581842,0.150501214029144
E28D.fastq.gz,Early,28,D,2,0.986309523809524,4.73491806469488,0,-0.2089571122066,0.0177783614720075,-0.181548915096264,0.104972073932644
E29A.fastq.gz,Early,29,A,2,0.992394354896469,5.2060452292671,0.00306097603394901,-0.0942838045461599,-0.0452870712385311,-0.104592438046664,-0.000881206285154864
E29B.fastq.gz,Early,29,B,2,0.994659739967311,5.43669059297199,0.000543248626788193,-0.0175482639519468,0.170354424685806,0.0565805574570731,0.161639141595116
E29C.fastq.gz,Early,29,C,2,0.989736799129884,4.85302768961379,0.00104998480285154,-0.0230871513572121,0.0355235466370919,-0.00578408289607443,0.0419700286933403
E29D.fastq.gz,Early,29,D,2,0.993941198817517,5.37626592241341,0.000135370661793323,-0.146985437198913,0.0925480174663751,-0.0936589742792752,0.146280042461254
E30A.fastq.gz,Early,30,A,2,0.980480159744712,4.11140067649915,0,-0.134420953003004,0.200240974531781,-0.0364794193135279,0.23840027779812
E30B.fastq.gz,Early,30,B,2,0.981617790590776,4.19837357220178,0,-0.194241940774285,-0.00461454588219246,-0.177756408770828,0.078446699932873
E30C.fastq.gz,Early,30,C,2,0.982844327967106,4.32423568056454,0,-0.109995863005149,0.200399304603675,-0.0143067864882475,0.228154086144131
E30D.fastq.gz,Early,30,D,2,0.980536351620669,4.09263422367455,7.09899549213786e-06,-0.124184028304156,0.172815172880076,-0.0388806300791556,0.209224887305659
E31A.fastq.gz,Early,31,A,2,0.983827619457897,4.37100079506048,0,-0.0624936462567321,0.183323577688486,0.0214204948907863,0.192494551501079
E31B.fastq.gz,Early,31,B,2,0.982105485454971,4.28536998371329,0,-0.102623442661321,0.112171885745026,-0.0451630867871258,0.145170239812143
E31C.fastq.gz,Early,31,C,2,0.985621410763237,4.46058763698671,0,-0.0622571178256181,0.119970083010403,-0.00531355598092071,0.135057527225674
E31D.fastq.gz,Early,31,D,2,0.974376731301939,3.87677266891028,0,-0.0527010904962023,0.0562809045955967,-0.023756026278106,0.0733525485382853
E33A.fastq.gz,Early,33,A,2,0.992348000172393,5.14393329404661,0,-0.207596220622831,0.0582839062585078,-0.163087791257928,0.141051681621469
E33B.fastq.gz,Early,33,B,2,0.992677355764385,5.31045619683566,0,-0.24683643448289,0.0316501941802381,-0.209930060990328,0.133638803019445
E33C.fastq.gz,Early,33,C,2,0.991875060186371,5.11301324004891,0,-0.170110802092309,-0.00969491113982814,-0.158078146270129,0.063584400306188
E33D.fastq.gz,Early,33,D,2,0.991912028796497,5.06738585131396,0,-0.173484477629267,0.132271577235586,-0.100744375281137,0.193502467611922
E35A.fastq.gz,Early,35,A,2,0.988943062673961,5.03292873498536,0.00524109014675052,-0.295489956437748,0.0617103075299868,-0.24117624745544,0.181539235633347
E35B.fastq.gz,Early,35,B,2,0.986461833323951,4.74062976532077,0.00253592561284869,-0.305051357095536,-0.0766178676570428,-0.308668971939775,0.0604160067513781
E35C.fastq.gz,Early,35,C,2,0.989039675838096,4.90018207573098,0.00273473108477666,-0.344313077418868,-0.0563568590489806,-0.335583513688386,0.0954531098711532
E35D.fastq.gz,Early,35,D,2,0.992292940032062,5.23516063863142,0.00753138075313808,-0.272632681026367,0.133956202008769,-0.189759275427732,0.237200885768543
E36A.fastq.gz,Early,36,A,2,0.992537505972711,5.06415657265532,0.00595679012345679,-0.0167886208616949,0.249868187814161,0.091090117374469,0.233277859190872
E36B.fastq.gz,Early,36,B,2,0.987607666098033,4.66440920583822,0.00926578708832712,0.0307000356102922,0.164732173749968,0.0978549250635898,0.13602791954471
